,id,transcribation text,text
25,25,أليسا لو سمحتي شغلي موسيقى للفنانة فيروز.,أليس لوسمحتي شغلي موسيقي الفنانه فيروز
26,26,أليسا وش اسمي؟,أليسا وش اسمي
27,27,,أليسا احلفي
28,28,أليسا شغلي أغاني خطوبة.,أليسا شغلي لي اغاني خطوبه
29,29,أليسا شغلي سورة النور عبدالله غيلان.,أليس شغلي سوره النور لعبدالله غيلان
30,30,أليسا,أليسا
31,31,شغليلي أغاني جزائرية على ذوقك.,شغلي لي اغنيه جزائريه علي ذوقك
32,32,أليسا حطيلي أغاني مشهورة من التسعينات.,أليسا حطي لي اغاني مشهوره من التسعينات
33,33,أليسا سمعيني أغنية على بابي واقف قمرين.,أليسا سمعيني اغنيه علي بابي واقف قمرين
34,34,أليسا أبى اسمع أغنية ون لوف حقت فرقه بلو ,أليس ابغي اسمع اغنيه ون لوف حقت فرقه بلو
35,35,أليسا وقفي.,أليس وقفي
36,36,أليسا شغليلي أغنية تزعل وأراضيك للعامري.,أليسا شغلي لي اغنيه تزعل واراظيك للعامري
37,37,"أليس شغلي لي أغنيه مسلسل لوكاسا دوبابيل، ودي احفظها.",أليس شغلي لي اغنيه مسلسل لوكاسا دوبابيل ودي احفظها
38,38,أليسا شغلي أغنية اللي فيها مقطع فكروني.,أليسا شغلي اغنيه اللي فيها مقطع فكروني
39,39,شغلي نشيد اقبل العيد,دام اقبل العيد شغلي نشيد العيد اقبل
40,40,أليسا مشتاق أسمع أغنية حب خالد افتحيها لي وخلها تتكرر.,أليس مشتاقه اسمع اغنيه الحب خالد افتحيها لي وخلها تتكرر
41,41,أليس شغلي لي احاديث قدسية,أليس شغلي لي احاديث قدسيه
42,42,سمعيني أحسن أغاني هيفا وهبي.,سمعيني احسن اغاني هيفا وهبي
43,43,أليس شغلي أغنية ناسيني ليه.,أليس شغلي اغنيه ناسيني ليه
44,44,ماسكة معي اليوم أغاني دبكة شغليلي أغنية درج يا غزالي.,ماسكه معي اليوم أغاني دبكه شغلي لي اغنيه درج ياغزالي
45,45,أليس سمعيني سورة الحزاب بصوت ياسر الدوسري.,أليس سمعيني سوره الأحزاب بصوت ياسر الدوسري
46,46,أليس اطربيني باغنيه مذهله وخلها تتكرر طول الوقت.,أليس اطربيني باغنيه مذهله وخلها تتكر طول الوقت
47,47,أليسا شغليلي أغاني أطفال.,أليسا شغلي لي اغاني للاطفال
48,48,أليسا شغلي أغنية تروقني,أليس شغلي لي اغنيه تروقني
49,49,ودي أسمع أغنية الشهير,ودي اسمع أغنيه الشهير
50,50,,أليس ابغي اسمع اغنيه عالدبكه وفيني لنوال الزغبي
51,51,أليس كل يوم جمعة صحيني الساعة عشرة عشان اتجهز لصلاة الجمعة,أليسا كل يوم جمعه صحيني الساعه عشره عشان اتجهز لصلاه الجمعه
52,52,أليسا عيدي,أليسا عيده
53,53,أليس ذكريني اكل حبوبي الساعه خمسه العصر ,أليسا بتبدئي تطقي الباب الساعه خمس الصبح
54,54,أليسا شغلي لي أغنيه الأماكن ,أليسا شغلي لي اغنيه الاماكن
55,55,أليسا شغلي كرتون صاني بونيز,أليسا شغلي كرتون صاني بونيز
56,56,أليسا سمعيني آخر أغنية برازيلية مشهورة.,أليسا سمعيني آخر اغنيه برازيليه مشهوره
57,57,أليسا ودي أسمع الأغنية الهندية لشاروخان كشمير.,أليسا ودي اسمع الاغنيه الهنديه لشاروخان كشمير
58,58,أليسا شغلي أغنية ليلة عمر,أليس شغلي اغنيه ليله عمر
59,59,سمعيني قصة علي بابا والأربعين حرامي.,سمعيني قصه علي بابا والأربعين حرامي
60,60,أليس شغلي لي اغاني حفلة جاستن بيبر اللي بجده ,أليس شغلي لي اغاني حفله جستن بيبر اللي بجده
61,61,أليس اطربيني بأغاني اوكورديون ,أليسا اطربيني باغاني اوكورديون
62,62,ذكريني الساعه ثمنيه ونص اطلع الملابس من الغساله.,ذكريني الساعه ثمنيه ونص اطلع الملابس من الغساله
63,63,أليسا شغلي آخر أغنية لسيا.,أليس شغلي اخر اغنيه لسيا
64,64,أليسا أبغى أسمع قصة علي بابا,أليس ابغي اسمع قصه علي بابا
65,65,أليسا عطيني أغنية صباح الصباح.,أليسا عطني اغنيه صباح الصباح
66,66,,أليس اغنيه
67,67,أليسا ودي اسمع اغنية لكتب ع وراق الشجر ,أليسا ودي اسمع اغنيه لكتب ع وراق الشجر
68,68,أليسا تكفين أغنية قلب قلب لمحمد السالم,أليسا تكفين اغنيه قلب قلب لمحمد السالم
69,69,الإسراء.,الإسراء
70,70,أليسا شغليلي مكس أجنبي حماسي,أليسا شغلي لي مكس اجنبي حماسي
71,71,أليس سمعيني اغنيه ماتيجي هنا ,أليس سمعيني اغنيه ماتيجي هنا
72,72,أليس سمعيني أغنيه لفرقه تيك ذات ,أليس سمعيني اغنيه لفرقه تيك ذات
73,73,أليسا سمعيني أنشودة حزينة.,أليسا سمعيني شيلات حزينه
74,74,أليسا مين مارادونا؟,أليسا مين مارادونا
75,75,أليسا شغليلي أغنية نفسي أحبك لأنغام.,أليسا شغلي لي اغنيه نفسي احبك لانغام
76,76,"مبطين عن عباس إبراهيم، شغلي لي أغنيه ربيع العمر بصوته.",مبطين عن عباس إبراهيم شغلي لي اغنيه ربيع العمر بصوته
77,77,شغلي لي  اغنية شيرين بتقول فيها كل ما اسمع كلامك ودي اسمعها,شغلي لي اغنيه شيرين بتقول فيها كل ما اسمع كلامك ودي اسمعها
78,78,أليسا سمعيني أغنية تخت شرقي.,أليس سمعيني أغنيه تخت شرقي
79,79,شغليلي أدعية دخول المسجد.,شغلي لي ادعيه دخول المسجد
80,80,أليس اطربيني بأغنيه كويتيه أصيله من التسعينات على ذوقك,أليس اطربيني باغنيه كويتيه اصيله من التسعينات علي ذوقك
81,81,أليسا شغلي لي اغنية تحسسني بالويكيند,أليسا شغلي لي اغنيه تحسسني بالويكيند
82,82,أليس شغلي الالبوم اللي محددته كامل,أليس شغلي الالبوم اللي محددته كامل
83,83,أليس مزاجي المغرم يبي يسمع اشوى انك حبيبي,أليس مزاجي المغرم يبي يسمع اشوي انك حبيبي
84,84,أعطيني أغنية بلاش عتاب.,عطني اغنيه بلاش عتاب
85,85,أليسا,أليس
86,86,أليسا تقدري تسمعيني أغاني - أغنية الدنيا حلوة لنانسي عجرم؟,أليسا تقدري تسمعيني اغنيه الدنيا حلوه لنانسي عجرم
87,87,أليس قوميني بكرة زي العادة الساعة تسعة ونص وإذا ما قمت إرجعي قوميني.,أليس قوميني بكره زي العاده الساعه تسع ونص واذا ماقمت ارجعي قوميني بعدها بعشر دقايق
88,88,طفي نص المنبهات اللي محطوطه على الساعه خمسه الصبح ,طفئي نص المنبهات اللي محطوطه علي الساعه خمسه الصبح
89,89,أليسا شغلي هذي الأغنية.,أليسا شغلي هذي الاغنيه
90,90,أليسا وش الأغنية اللي فيها حبيب الروح؟,أليسا وش الاغنيه اللي فيه حبيب الروح
91,91,أليس؟؟,أليسا ابي قصه هاري بوتر صوتيه
92,92,أليسا صحيني كل يوم الساعه ثمنيه الصبح الا يوم الجمعه تراها اجازتي,أليسا صحيني كل يوم الساعه ثمنيه الصبح الا يوم الجمعه تراها اجازتي
93,93,قوليلي قصة خرافية.,قولي لي قصه خرافيه
94,94,أليس المود على القديم سمعيني طلال مداح,أليس المود علي القديم سمعيني طلال مداح
95,95,أليسا,أليسا
96,96,أليس أطربيني على أغنية قبل لا أعرفك.,أليس اطربيني علي اغنيه قبل اعرفك
97,97,أليسا عمر المطر نشيد لمحمد العبدالله شغليها ,أليسا عمر المطرنشيد لمحمد العبدالله شغليها
98,98,أليسا إيه,أليس ايه
99,99,أليسا شغلي هذا المقطع من هذي الأغنية.,أليسا شغلي هذا المقطع من هذي الاغنيه
100,100,أليس يمديكي تجيبي أغاني أسمهان ,أليس يمديك تجيبين اغاني اسمهان
101,101,أليسا شغلي لي أغنية الملكة الراقصة ,أليسا شغلي لي اغنيه الملكه الراقصه
102,102,الإسراء ,الإسراء
103,103,أليسا سمعيني الأغنية اللي بتقول ناسيني ليه لتامر حسني ,أليسا سمعيني الاغنيه اللي بتقول ناسيني ليه لتامر حسني
104,104,أليس أبي أسمع آخر أغنية تريند في التيك توك ,أليس ابي اسمع آخر اغنيه ترند في التيك توك
105,105,أليس اطربني بأغنية أم كلثوم فكروني ,أليس اطربيني باغنيه ام كلثوم فكروني
106,106,أليس ودي نحفظ سوره القمر شغليها لنا بصوت رعد الكردي,أليس ودي نحفظ سوره القمر خنشغلها بصوت رعد الكردي
107,107,أليس سورة فاطر بجزء إثنين وعشرين شغليها لي ,أليس سوره فاطر بجزء ثنين وعشرين شغليها لي
108,108,أليسا أبي أسمع أغاني بوب ,أليسا ابي اسمع اغاني بوب
109,109,أليس شغلي أغنية للمطربة فيروز ,أليسا شغلي اغنيه للمطربه فيروز
110,110,أليس شغلي قصة سندريلا ,أليس شغلي قصه ساندريلا
111,111,أليس شغلي آخر أغنية لسيا ,أليس شغلي اخر اغنيه لسيا
112,112,أليسا وش الأغنية اللي فيها حبيب الروح ,أليسا وش الاغنيه اللي فيه حبيب الروح
113,113,أليسا ذكريات الطفولة رجعت أبي أغنية عهد الأصدقاء ,أليسا ذكريات الطفوله رجعت ابي اغنيه عهد الأصدقاء
114,114,أليس شغلي قصة عقلة الإصبع ,أليس شغلي قصه عقله الاصبع
115,115,أليسا شغلي لي أشهر أغنية عام ألفين وأربع طعش ,أليسا شغلي لي اشهر اغنيه عام الفين واربعطعش
116,116,أليسا شيرين يا شيرين شغلي لها أي أغنية ,أليسا شيرين يا شيرين شغلي لها اي اغنيه
117,117,إطربيني بأغاني عبدالله الراشد القديمة ,اطربيني بأغاني عبدالله الرويشد القديمه
118,118,إليسا إطربيني على أغنية أيام الشتا ,أليسا اطربيني علي اغنيه ايام الشتي
119,119,أليسا؟؟,أليس وقفي
120,120,أليس أبغى أغنية غريبة مرة ,أليس ابغي أغنيه غريبه مره
121,121,أليس ودي أسمع أغنية محمد منير والكون كله يدور ,أليس ودي اسمع اغنيه محمد منير والكون كله يدور
122,122,أليسا خاطري أسمع شيلات,أليسا خاطري اسمع شيلات
123,123,,ذكريني اليوم الساعه خمسه وعشرين دقيقه احرك
124,124,أليسا شغلي موسيقى هادية ,أليسا شغلي موسيقي هاديه
125,125,أليسا شغلي أغاني للفنان ,أليسا شغلي أغاني للفنان
126,126,أليسا ذكريني بكرة الساعة عشرة ونص عندي إجتماع في الشركة ,أليسا ذكريني بكره الساعه عشره ونص عندي اجتماع في الشركه
127,127,أليسا الأغنية اللي بعدها ,أليسا الاغنيه اللي بعدها
128,128,أليس كيف الجو بكرة بجدة ,أليس كيف الجو بكره بجده
129,129,أليسا أطربيني على أغاني من جلسات طربية ,أليس اطربيني علي اغاني من جلسات طربيه
130,130,أبغى أغنية مايكل جاكسون ,أبغي أغنيه مايكل جاكسون
131,131,أليس تكفين ودي أسمع أغنية لا تستغرب لأنغام ,أليس تكفين ودي اسمع اغنيه لا تستغرب لانغام
132,132,شغلي أغنية الخيل ,شغلي اغنيه الخيل
133,133,أليسا شغلي ؟؟؟,أليسا شغلي المنبه عالساعه ثنعش الصباح عشان أهني صديقتي بيوم ميلادها
134,134,أليس شغلي ألبوم المغني تامر حسني ,أليس شغلي البوم مغني ثامر حسني
135,135,أليس شغلي لي يا خذا بالنواصي ,أليس شغلي لي يا خذا بالنواصي
136,136,قولي لي قصة ما قبل النوم ,قوليلي قصه ما قبل النوم
137,137,شغلي أغاني بوب ,شغلي اغاني بوب
138,138,أليس شغلي أغنية فات الميعاد ,أليسا شغلي اغنيه فات الميعاد
139,139,أليس ,أليس
140,140,أليس دوري أغنية ها ها ها ها ,أليس دوري اغنيه ها ها ها ها
141,141,أليسا شغلي المنبه من الساعة عشرة إلا عشر إلى الساعة تسعة إلا عشر ,أليسا شغلي المنبه من الساعه عشر الا عشر الي الساعه تسعه الا عشر
142,142,أليس موسيقى راب,أليس موسيقي راب
143,143,أليسا صباح الخير حطي لي أغنية لطيفة رايقة ,أليسا صباح الخير حطي لي اغنيه لطيفه رايقه
144,144,أليس وش توقعات حالة الجو اليوم ,أليس وش توقعات حاله الجو اليوم
145,145,أليس شغلي لي أغنيتي المفضلة رقم واحد ,أليس شغلي اغنيتي المفضله رقم واحد
146,146,أليس سمعيني أغاني نبيل شعيب ,أليس سمعيني اغاني نبيل شعيل
147,147,شغلي أغنية المقطع: أمي أنتِ أحلى مافي الدنيا ,شغلي اغنيه المقطع امي انت احلي ما في الدنيا
148,148,أليس ,أليس
149,149,أليسا شغلي أغاني ؟ ,أليسا شغلي اغاني نانسي عجرم
150,150,أليسا سمعيني أغنية حكاية طفل لحمزة نمرة ,أليسا سمعيني اغنيه حكايه طفل لحمزه نمره
151,151,أليس ابي أسمع للمطرب عبدالوهاب,أليس أبغي أسمع للمطرب عبد الوهاب
152,152,أليس إعجاب,أليس اعجاب
153,153,أليس حلم بعيد تنعشني شغليها لي,أليس حلم بعيد تنعشني شغليها لي
154,154,"أليس، حلو الله يعطيك العافه",أليس حلو الله يعطيك العافيه
155,155,أليس شغلي أخصمك آه,أليسا شغلي اغنيه اخاصمك اه
156,156,أليس وقفي المنبه,أليس وقفي المنبه
157,157,"أليس، شغلي أغاني راب",أليس شغلي اغاني راب
158,158,أليس سمعيني يا ناس أحبه لأصيل هميم,أليس سمعيني ياناس احبه لاصيل هميم
159,159,"إليسا، قوقل قصة السنديباد",أليس غوغل قصه السندباد
160,160,"أليس، وبكره؟",أليس و بكره
161,161,وش قاعده تسوي؟,وش قاعده تسوي
162,162,"أليس، شغلي أغاني زواج",أليس شغلي لي اغاني زواج
163,163,أليس أحتاج أغاني زواجات,أليسا احتاج اغاني ليوم ميلاد
164,164,شغلي أغنية تامر حسني نفس النهايه,شغلي اغنيه قبل خطوه من النهايه
165,165,أليس شغلي أغاني مطربتي المفضلة,أليس شغلي اغاني مطربتي المفضله
166,166,أليس أدور في أغاني ماجد المهندس,أليس أدور في أغاني ماجد المهندس
167,167,"إليسا، شغلي",أليسا شغلي
168,168,"أليس، ذكريني الساعة تسعة في الليل أدق عالمندوب",أليسا ذكريني الساعه تسعه في الليل ادق علي المندوب
169,169,"أليس، شغليلي أحاديث قدسية",أليس شغلي لي احاديث قدسيه
170,170,"أليسا، سمعيني شيلات هادية",أليسا سمعيني شيلات هاديه
171,171,أليس يختي فرحينا بأغنية صفاء أبو السعود العيد فرحة,أليس ياختي فرحنا باغنيه صفاء أبو السعود العيد فرحه
172,172,,أليس سمعيني ياجماعه كيف مافيكم حميه بدون موسيقي
173,173,"أليس، أغاني كلاسيكية",أليس أغاني كلاسيكيه
174,174,"أليس، سمعيني ياناس أحبه لأصيل هميم",أليس سمعيني يناس احبه لاصيل هميم
175,175,أبي اليوم أغاني أجنبي شغليلي أي شي لجاستين بيبر,ابي اليوم أغاني اجنبي شغلي لي أي شي لجاستن بيبر
176,176,طفيلي المنبه بكره,في منبه لبكره
177,177,أليسا وقفي,أليس وقفي
178,178,"أليسا، سمعيني أغنية معقول الغرام",أليسا سمعيني اغنيه معقول الغرام
179,179,"أليس، سمعيني القرآن كامل بصوت المنشاوي",أليس سمعيني القران كامل بصوت المنشاوي
180,180,"أليس، سمعيني حزين عالمود",أليس سمعيني حزين عالمود
181,181,"أليسا، شغليلي الحب الحقيقي",أليسا شغلي الحب الحقيقي
182,182,"أليس، لو سمحتي شغلي قصتي الخيالية",أليسا لوسمحتي شغلي قصتي الخياليه
183,183,متى عيد ميلادك؟,متي عيد ميلادك
184,184,"أليس، تتوقعي تمطر اليوم أو بكره؟",أليس تتوقعي تمطر اليوم أو بكره
185,185,أليس,أليس
186,186,"أليس، قصص الأطفال",أليس قصص الاطفال
187,187,أليس,أليسا
188,188,شغلي قصة ذهب,شغلي قصه ذهب
189,189,سمعيني أغاني مايا دياب,سمعيني اغاني مايا دياب
190,190,no speech ,سمعيني اغاني كاوه بو الامريكيه
191,191,"أليس، أبي أغنية يابختي فيك",أليس ابي اغنيه يا بختي فيك
192,192,"أليسا، أجل تعلم",أليسا أجل تعلم
193,193,"أليسا، شغلي موسيقى كلاسيكية",أليسا شغلي موسيقي كلاسيكيه
194,194,"أليسا، وقفي",أليسا وقفي
195,195,أليس,أليس
196,196,غنيلي أغاني هادية ورومانسية,شغلي لي اغاني هاديه ورومانسيه
197,197,"أليس، شغليلي أغنية حزينه اللي احبها واسمعها كثير",أليس شغلي اغنيه حزينه اللي بحبها و بسمعها كثير
198,198,"أليس, إفتحيلي موقع الكرة",أليس افتحي لي موقع الكوره
199,199,"أليس، أزين أغنيه للمطربة شاديه",أليس أزين أغاني المطربه شاديه
200,200,أليس شغلي أغنية سو يا سو حبيبي حبسو,أليس شغلي اغنيه سو يا سو حبيبي حبسوه
201,201,أليسا اطربيني وشغلي أغاني لنجوى كرم ,أليسا اطربيني وشغلي اغاني لنجوي كرم
202,202,أليسا طفي المنبه,أليس طفئي المنبه
203,203,أليسا حطيلي مطربي المفضل,أليس حطلي مطربي المفضل
204,204,أليسا أغاني الشاب حسني,أليسا أغاني الشاب حسني
205,205,أليسا صباح الخير حطيلي أغنية حلوه رايقة,أليسا صباح الخير حطي لي اغنيه لطيفه رايقه
206,206,أبغى اسمع أغنية يا رايحين الحرم,ابغي اسمع اغنيه ياريحين الحرم
207,207,أليسا أقول شغلي أغنية ثامن عجيبة,أليس اقول شغلي اغنيه ثامن عجيبه
208,208,أليس شغلي نشيد الدعوه مزح وطقطقة,أليس شغلي نشيد الدعوه مزح وطقطقه
209,209,شغلي لي أغنية عبادي الجوهر الحزينة,شغلي لي اغنيه عبادي الجوهر الحزينه
210,210,أليسا اليوم رايقة شغلي لي الدنيا حلوه,أليسا اليوم رايقه شغلي لي الدنيا حلوه
211,211,الإسراء,الإسراء
212,212,شغلي لي أغنية غدارة يا دنيا,شغلي لي اغنيه غداره يا دنيا
213,213,أليسا اطربي أذني بأغنية ليزو الأخيرة,أليسا اطربي اذني باغنيه ليزو الاخيره
214,214,شغلي أغنيتي المفضلة what وات,شغلي اغنيتي المفضله
215,215,الفنانة رقم واحد اللي أحبها,الفنانه رقم واحد اللي احبها
216,216,أليس قصص قبل النوم للأطفال,أليس قصص قبل النوم للاطفال
217,217,بيكمل اليوم الحلو لو تشغلين لي الحين أحلى من العقد لباسه,بيكمل اليوم الحلو لو تشغلي لي الحين احلي من العقد لباسه
218,218,أليسا شغلي لي نانسي عجرم,أليسا شغلي نانسي عجرم
219,219,أليس حطي أغنية حبيبي تعال على اليوتيوب,أليسا حطي اغنيه حبيبي تعال عاليوتيوب
220,220,أليس ابغى أغنية تغير جوي ,أليس ابغي اغنيه تغير جوي
221,221,أليسا علي صوتك شوي,أليسا علي صوتك شوي
222,222,أليس شغلي لي أكثر أغنيه مشهورة لفرقة بلاك بينك,أليس شغلي لي اكثر اغنيه مشهوره لفرقه بلاك بينك
223,223,أليسا قديم كنت اسمع عن المنشد عيد سعود شغلي له شي بالله ,أليسا قديم كنت اسمع عن المنشد عيد سعود شغلي له شي بالله
224,224,أليسا مع السلامة,أليسا مع السلامه
225,225,أليسا أبي أسمع أغنية مسرعة ,أليس أبي أسمع أغنيه مسرعه
226,226,أليسا شغليلي أغاني طرب,أليسا شغلي لي اغاني طرب
227,227,أليسا شغلي بتونس بيك,أليس شغلي بتونس بيك
228,228,أليس,أليس
229,229,"أليس  ناشبه في مخي من الصبح أغنية روان كان ياماكان، شغليها لي.",أليسا ناشبه في مخي من الصبح اغنيه روان كان ياماكان شغليها لي
230,230,أليس شغلي أغاني فضل شاكر,أليس شغلي اغاني فضل شاكر
231,231,أليس سمعيني أغاني عربية... غربية okay أوكي ,أليس سمعيني اغاني غربيه
232,232,"أليس ما أعرف أرقص إلا على أغنيه سليّم سليّم، شغليها خنتنكس شوي.",أليسا ما اعرف ارقص الا علي اغنيه سليم سليم شغليها خنتنكس شوي
233,233,أليسا يلا خلنا نهيأ,أليسا يلا خلنا هيا
234,234,أليسا تكفين لو تسمعين .. لو تسمعيني لمحمد عبده أغنية أحبك,أليسا تكفين لو تسمعيني لمحمد عبده اغنيه احبك
235,235,أليس شغلي كل أغاني هيفاء وهبي اللي عندي بالجوال.,أليس شغلي لي كل أغاني هيفاء وهبي اللي عندي بالجوال
236,236,أليس,أليس
237,237,أليس شغلي كيفك أنت,أليس شغلي كيفك انت
238,238,أليس أبي قصة السنافر,أليس ابي قصه السنافر
239,239,أليسا اطربيني على أغنية قومي رقصي,أليس اطربيني علي اغنيه قومي رقصي
240,240,أبي أغاني طرب,ابي اغاني طرب
241,241,أليس اللحين حزة معقول مانعود أحباب شغليها,أليس اللحين حزه معقول مانعود احباب شغليها
242,242,أليسا كم الصوت الحين,أليسا كم الصوت الحين
243,243,أليسا,أليس
244,244,أليس شغلي الألبوم الأخير لعمرو دياب,أليس شغلي الالبوم الاخير ل عمرو دياب
245,245,أليسا شغلي أغنيه حسين الجسمي بالبنط العريض.,أليسا شغلي اغنيه حسين الجسمي بالبنط العريض
246,246,أليسا شغلي قصة قصيرة تناسب الأطفال,أليسا شغلي قصه قصيره تناسب الاطفال
247,247,أليسا نبي نروق على الشعبيات أبو نوره,أليسا نبي نروق علي شعبيات أبو نوره
248,248,أليسا شغلي لي موسيقى أغنية بيبي شارك ,أليسا شغلي موسيقي اغنيه بيبي شارك
249,249,أليس أغنية صارت ترند الحين ,أليسا سمعيني أغنيه صارت ترند الحين
250,250,سمعيني حطي أغنيه هالأسمراني حقت قناة غنوه,اسمعي حطي اغنيه هالاسمراني حقت قناه غنوه
251,251,أليس حطيلي أغنية طربية يمنية على مزاجك,أليسا حطي لي اغنيه طربيه يمنيه علي مزاجك
252,252, ,آل سعود
253,253,أليس شغلي لي نشيدة هادية ,أليس شغلي لي نشيده هاديه
254,254,أليس تكفين أغنية أنا وياك لزياد برجي,أليس تكفين اغنيه انا وياك لزياد برجي
255,255,أطربيني على أغنية أخيرا قالها ,اطربيني علي اغنيه اخيرا قالها
256,256,أليسا اغنية هاو دو يو نو ثات يو لاف هير,أليسا اغنيه هاو دو يو نو ثات يو لاف هير
257,257,أليس هلا صيحيني بالله,أليسا هلا صيحيني بالله
258,258,أليس شغلي لي آخر أغنية لفيفتي سينت ( Fifty Cent ),أليس شغلي لي آخر اغنيه لفيفتي سنت
259,259,ودي أسمع أغنية البارحة لجابر الكاسر ,ودي اسمع اغنيه البارحه لجابر الكاسر
260,260,أليس أغنية شفت لحسين الجسمي,أليس اغنيه شفت لحسين الجسمي
261,261,No Speech/Unclearأليسا ,أليس ابغي موسيقي راييقه مره
262,262,أليسا سمعيني أغنية محمد المازم أبعد وخليني ,أليس سمعيني اغنيه محمد المازم ابعد وخليني
263,263,أليسا ودي أسمع أغنية حبيبي يا ليارا,أليسا ودي اسمع اغنيه حبيبي يا ليارا
264,264,أليس شغلي مسيطرة ,أليس شغلي مسيطره
265,265,أليس دوري لي برنامج عمرو أديب في قناة إم بي سي مصر ,أليس دوري لي برنامج عمرو اديب في قناه ام بي سي مصر
266,266,أليس مشكلني حقت راشد شغليها بالله ,أليس مشكلني حقت راشد شغليها بالله
267,267,أليس شلون أتواصل معك؟,أليس شلون اتواصل معاك
268,268,أليس خاطري بأغاني قديمة شغلي لي أغنية يالتاكسي,أليس خاطري باغاني قديمه شغلي لي اغنيه يالتاكسي
269,269,أليسا أحلى الليالي اللي تبدأ بأغنية ليلة لو باقي ليلة ,أليسا احلي الليالي اللي تبدأ باغنيه ليله لو باقي ليله
270,270,أليس شغلي أغاني شيرين.,أليس شغلي اغاني شيرين
271,271,أليس اليوم الجمعة ودنا نسمع نشيد صلى عليك الله ,أليسا اليوم الجمعه ودنا نسمع نشيد صلي عليك الله
272,272,أليس شغلي الأغنية اللي فيها أنا وأنت مافيش حاقة ناقصة ,أليس شغلي لي الاغنيه اللي فيها انا وانت ما فيش حاجه ناقصه
273,273,أليس شغلي سعد المجرد,أليس شغلي سعد المجرد
274,274,أليسا أنتِ متصلة بالنت؟ ,أليسا انت متصله بالنت
275,275,أليسا عطينا أغنية لأنغام,أليس عطنا اغنيه لانغام
276,276,أليسا أطربيني على أغنية بدنا نولع الجو ,أليسا اطربيني علي اغنيه بدنا نولع الجو
277,277,أليس أدور عن قصص قبل النوم,أليس أدور عن قصص قبل النوم
278,278,أليس سمعيني أغنية حبيبي على نياته ,أليس سمعيني اغنيه حبيبي علي نياته
279,279,شغلي ألبوم شيرين عبدالوهاب ,شغلي البوم شيرين عبد الوهاب
280,280,أليسا ما يحتاج,أليسا مايحتاج
281,281,أليسا شغلي أغنية أنت معلم ,أليس شغلي اغنيه انت معلم
282,282,أليس سمعينا أغنية شيرين الجديدة,أليس سمعيني اغنيه شيرين الجديده
283,283,أليسا أطربيني بأحسن الأغاني لألفين وستة  ,أليسا اطربيني باحسن اغاني الفين وسته
284,284,أليس أبي أسمع أغنية طرب أصيل ,أليس ابي اسمع اغنيه طرب اصيل
285,285,ذكريني الساعة تسعة بالليل أدق على المندوب,ذكريني الساعه تسعه في الليل ادق علي المندوب
286,286,أليس شغلي قنوات التلفزيون ,أليس شغلي قنوات التلفزيون
