count	query	symptoms	recommend	all
2	расскажи о симптомах коронавируса	1	0	0
2	м	0	0	0
2	лечение	0	0	0
2	лекарство	0	0	0
2	рекоменда	0	1	0
2	ладно	0	0	0
2	ну расскажи про симптомы и рекомендации	0	0	1
2	ку ку	0	0	0
2	стой	0	0	0
2	кто	0	0	0
2	рекомендации скажи	0	1	0
2	короновирус статистика в мире	0	0	0
2	рекомендуй	0	1	0
2	ты что	0	0	0
2	коронавирус новости	0	0	0
2	коронавирус китай	0	0	0
2	коронавирус картинки	0	0	0
2	рингтоны	0	0	0
2	коронавирус карта	0	0	0
2	коронавирус италия	0	0	0
2	коронавирус в узбекистане	0	0	0
2	ну спасибо	0	0	0
2	роновирус	0	0	0
2	расскажи про сто	0	0	0
2	у	0	0	0
2	спасибо алиса не болей	0	0	0
2	корона	0	0	0
2	корова	0	0	0
2	когда закончится пандемия	0	0	0
2	окей	0	0	0
2	кови девятнадцать	0	0	0
2	картинки коронавируса	0	0	0
2	картинки	0	0	0
2	русское радио	0	0	0
2	окей спасибо	0	0	1
2	календарь	0	0	0
2	какие симптомы у коронавируса	1	0	0
2	она	0	0	0
2	серьезно	0	0	0
2	расскажи последние новости	0	0	0
2	ужас	0	0	0
2	симптомы вируса	1	0	0
2	откуда появился коронавирус	0	0	0
2	отмена	0	0	0
2	песню спой	0	0	0
2	по	0	0	0
2	симптомы давай рассказывай	1	0	0
2	симптомы и рекомендации коронавирус	0	0	1
2	как вылечиться от коронавируса	0	0	0
2	как выглядит корона вирус	0	0	0
2	спасибо алиса пока	0	0	0
2	италия коронавирус	0	0	0
2	информация о коронавирусе	0	0	0
2	играй	0	0	0
2	и что дальше	0	0	0
2	погода в москве	0	0	0
2	здравствуйте	0	0	0
2	здорово	0	0	0
2	симптомы коронавирус	1	0	0
2	замолчи	0	0	0
2	заболела	0	0	0
2	подожди	0	0	0
2	подробнее	0	0	1
2	еда	0	0	0
2	достаточно	0	0	0
2	синтол	0	0	0
2	улица	0	0	0
2	дождь	0	0	0
2	девятнадцать	0	0	0
2	умерла	0	0	0
2	давайте симптомы	1	0	0
2	фентанил википедия	0	0	0
2	фильм	0	0	0
2	хорошо алиса	0	0	0
2	ситуация в москве	0	0	0
2	давай про симптомы и рекомендации	0	0	1
2	че	0	0	0
2	чем опасен коронавирус	0	0	0
2	поехали	0	0	0
2	давай поболтаем	0	0	0
2	давай не надо	0	0	0
2	следующая	0	0	0
2	давай валяй	0	0	0
2	спасибо алисочка	0	0	0
2	спасибо буду знать	0	0	0
2	покажи коронавирус	0	0	0
2	покажи фото вируса	0	0	0
2	скучно	0	0	0
2	да дорогая	0	0	1
2	показывай	0	0	1
2	а в мире	0	0	0
2	расскажи про новости	0	0	0
2	поняла	0	0	0
2	громкость семь	0	0	0
2	громкость пять	0	0	0
2	спокойной ночи	0	0	0
2	говори про симптомы	1	0	0
2	скажи сколько умерло	0	0	0
2	где я	0	0	0
2	что за музыка играет	0	0	0
2	скажите	0	0	1
2	понятно спасибо	0	0	0
2	выключайся	0	0	0
2	вызывай	0	0	0
2	а если это моя работа что мне делать	0	0	0
2	расскажи про курс доллара	0	0	0
2	все пока	0	0	0
2	последние новости	0	0	0
2	а умерло сколько	0	0	0
2	вот так вот	0	0	0
2	включи ютуб	0	0	0
2	пошла на хуй	0	0	0
2	правда	0	0	0
2	включи песню корона минус	0	0	0
2	прибавь	0	0	0
2	сколько заболевших в россии коронавирусом	0	0	0
2	что случилось	0	0	0
2	включи мою любимую песню	0	0	0
2	включи ламбаду	0	0	0
2	включи коронавирус	0	0	0
2	включи веселую музыку	0	0	0
2	расскажи про гречку и туалетную бумагу	0	0	0
2	сколько заболела в россии	0	0	0
2	прикинь	0	0	0
2	сколько людей умерло в мире от коронавируса	0	0	0
2	видео	0	0	0
2	валяй	0	0	1
2	про	0	0	0
2	в мире	0	0	0
2	в каких регионах	0	0	0
2	будильник	0	0	0
2	про коронавирус	0	0	0
2	бабушка	0	0	0
2	армавир	0	0	0
2	сколько людей умерло от коронавируса	0	0	0
2	сколько людей умерло от коронавируса во всем мире	0	0	0
2	про симптомы и рекомендации	1	1	0
2	алиса что с коронавирусом	0	0	0
2	что ты	0	0	0
2	алиса ты молодец	0	0	0
2	алиса ты знаешь что такое лайки	0	0	0
2	про симптомы или рекомендации	0	0	1
2	алиса ты боишься коронавируса	0	0	0
2	сколько не	0	0	0
2	что ты скажешь о коронавирусе	0	0	1
2	сколько умерло от корона вируса в россии	0	0	0
2	про симптомы скажи	1	0	0
2	алиса расскажи сказку	0	0	0
2	расскажи про вирус	0	0	1
2	продолжи	0	0	0
2	продолжить	0	0	0
2	что это	0	0	0
2	алиса расскажи про симптомы и рекомендации	0	0	1
2	проси	0	0	0
2	это	0	0	0
2	але	0	0	0
2	сколько умерло человек	0	0	0
2	алиса расскажи про	0	0	1
2	сколько человек в мире умерло от коронавируса	0	0	0
2	алиса расскажи анекдот	0	0	0
2	расскажи признаки коронавируса	1	0	0
2	алиса прочти новости корона вирус	0	0	0
2	алиса продолжай	0	0	0
2	алиса повтори пожалуйста	0	0	0
2	алиса новости коронавирус	0	0	0
2	расскажи какие симптомы	1	0	0
2	алиса мы все умрем	0	0	0
2	алиса когда закончится карантин	0	0	0
2	алиса какие симптомы корона вируса	1	0	0
2	расскажи мне про симптомы	1	0	0
2	расскажи мне про симптомы и рекомендации	0	0	1
2	алиса давай поболтаем	0	0	0
2	алиса громче	0	0	0
2	алиса громкость четыре	0	0	0
2	расскажи нам про симптомы	1	0	0
2	алиса громкость пять	0	0	0
2	алиса выключись	0	0	0
2	сколько человек в россии умерла от коронавируса	0	0	0
2	алиса выключайся	0	0	0
2	алиса вызови скорую помощь	0	0	0
2	алиса включи песню корона вирус	0	0	0
2	Что за музыка играет?	0	0	0
2	алиса включи	0	0	0
2	сколько человек в санкт петербурге	0	0	0
1	алиса а как ты думаешь обманывает наш государств насчет коронавируса	0	0	0
1	алиса а какая сегодня на улице погода	0	0	0
1	алиса а какие симптомы у кроновая вирусы	1	0	0
1	алиса а конверт это опасно	0	0	0
1	алиса а куда я сейчас могу	0	0	0
1	алиса а можешь мне показать фото заболевший вируса	0	0	0
1	алиса а можно с андреем дружить	0	0	0
1	алиса а мусульмане пять раз в день моют руки	0	0	0
1	алиса а покажи где даже корона вирус	0	0	0
1	алиса а почему тогда кино платное	0	0	0
1	алиса а сколько в городе якутск в городе полезны коронавирусе	0	0	0
1	алиса а сколько в екатеринбурге зараженных коронавируса	0	0	0
1	алиса а сколько в саранске порошенок корона вируса	0	0	0
1	алиса а сколько заболевших	0	0	0
1	алиса а сколько зараженных во владимире коронавирусом	0	0	0
1	алиса а сколько зараженных коронавируса в ногинске	0	0	0
1	алиса а сколько короновирусный зараженных в чехии	0	0	0
1	алиса а сколько человек умерло	0	0	0
1	алиса а сколько человек умерло от коронавируса в россии	0	0	0
1	алиса а температура все время поднимается	0	0	0
1	алиса а турции открыта	0	0	0
1	алиса а ты боишься вирусов	0	0	0
1	алиса а ты боишься корона вируса	0	0	0
1	алиса а ты болеешь корона вирусом	0	0	0
1	алиса а ты болеешь коронавирусом	0	0	0
1	алиса а ты веришь в кого	0	0	0
1	алиса а ты знаешь как зовут мою невестку	0	0	0
1	алиса а ты коронавирусом не болеешь	0	0	0
1	алиса а ты короновирус	0	0	0
1	алиса а ты любишь кататься на шарики	0	0	0
1	алиса а ты можешь вызвать врача	0	0	0
1	алиса а ты можешь вызвать скорую	0	0	0
1	алиса а ты можешь завалить коронавируса	0	0	0
1	алиса а ты можешь сама вызвать скорую	0	0	0
1	алиса а ты сама не заболела	0	0	0
1	алиса а ты случайно не корона вирусом заболела	0	0	0
1	алиса а ты тоже	0	0	0
1	алиса а ты точно не волна корона вирус	0	0	0
1	алиса а ты умеешь вызывать полицию	0	0	0
1	алиса а ты умеешь заказывать врача на дом	0	0	0
1	алиса а ты умная	0	0	0
1	алиса а ты чихаешь или кашляешь	0	0	0
1	алиса а у меня	0	0	0
1	алиса а честно помогает	0	0	0
1	алиса а что остальные умерли	0	0	0
1	алиса а что с остальными	0	0	0
1	алиса а что такое вирус	0	0	0
1	алиса а что такое корона вирус	0	0	0
1	алиса а что ты сама думаешь по поводу коронавируса	0	0	0
1	алиса аккуратно упала	0	0	0
1	алиса а как сделать так чтобы не заболеть коронавирусом	0	1	0
1	алиса алиса алиса	0	0	0
1	алиса алиса включи	0	0	0
1	алиса алиса включите мне пожалуйста механического деда мороза	0	0	0
1	алиса алиса как заработать деньги	0	0	0
1	алиса алиса какие методы профилактики против карна верка	0	1	0
1	алиса алиса количество зараженных в москве	0	0	0
1	алиса алиса корона вирус есть или нет	0	0	0
1	алиса алиса кто такие зомби	0	0	0
1	алиса алиса новости корона вируса	0	0	0
1	алиса алиса повтори пожалуйста симптомы коронавируса	1	0	0
1	алиса алиса сколько будет плюс четыре	0	0	0
1	алиса алиса стоп	0	0	0
