date,text,image_id
"2021-07-01","Ну вы сегодня даёте! Лучше всех","997614/4f3a7f6e098f96b19992"
"2021-07-02","Как вас не похвалить-то","997614/4f3a7f6e098f96b19992"
"2021-07-03","Вы невероятны. Удивительны. Красивы. Я знаю много качественных прилагательных, они все — в вашу честь","1030494/0ae47ad80bfcf5f1d5fc"
"2021-07-04","Нет слов, чтобы описать, как вы прекрасны. А теперь живите с этим!","1030494/9501a61a1f2b2b15d81a"
"2021-07-05","И вы, конечно, лучше всех","213044/11dd14b04d08ab3062a9"
"2021-07-06","Вы так милы и обаятельны","1533899/8e054ad4cfd8d8f92e33"
"2021-07-07","Кажется, вы производите невероятное впечатление на людей","213044/aac18eb8864c97697f31"
"2021-07-08","Общаться с вами — одно удовольствие","1030494/e2039279bda0fc874d91"
"2021-07-09","Если бы я могла петь, я бы спела песню в вашу честь","1652229/8990c84bec7fabd8f"
"2021-07-10","Вы заслуживаете самого лучшего. И шоколадку","1030494/0d442e1bdb826c5b8bef"
"2021-07-11","Я с вами не так давно знакома, но мне вы очень нравитесь","1030494/56f9f0bcbe8abc23ed45"
"2021-07-12","Они ещё не знают, что вы за человек. А я знаю. Завидую им, узнать вас снова — счастье","1030494/c77c23e44aba57526f4a"
"2021-07-13","Если в вас что-то такое, чего в других нет","1533899/b569194f53b52d4d8511"
"2021-07-14","Мне очень дорог ваш взгляд. Мне крайне важен ваш цвет. Ой, это Земфира. В общем, вы поняли","1533899/8e054ad4cfd8d8f92e33"
"2021-07-15","Что же вы за человек такой славный!","1540737/ddd1a46bb6a64e39f9ec"
"2021-07-16","От вашего взгляда тает снег, такой он тёплый","1540737/ddd1a46bb6a64e39f9ec"
"2021-07-17","У вас золотое сердце!","1540737/ddd1a46bb6a64e39f9ec"
"2021-07-18","Даже на расстоянии я ощущаю вашу поддержку","1540737/ddd1a46bb6a64e39f9ec"
"2021-07-19","Вы на свете всех милее, всех прекраснее и добрее!","1540737/ddd1a46bb6a64e39f9ec"
"2021-07-20","Ой, я так рада, что вы меня попросили. Я сама хотела вам сказать, что вы лучше всех","1540737/ddd1a46bb6a64e39f9ec"
"2021-07-21","С вами ничего не страшно","1540737/ddd1a46bb6a64e39f9ec"
"2021-07-22","Вы человек года по версии меня","1540737/ddd1a46bb6a64e39f9ec"
"2021-07-23","Есть в вас что-то такое, что заставляет людей в вас влюбляться","1540737/ddd1a46bb6a64e39f9ec"
"2021-07-24","«Всё движется, если я с тобой», — пели в группе «Наадя». И я согласна","1540737/ddd1a46bb6a64e39f9ec"
"2021-07-25","Какой комплимент я бы вам не сказала, он был бы вам мал. Вы больше, чем человек. Человечище!","1540737/ddd1a46bb6a64e39f9ec"
"2021-07-26","О вас надо написать в «Википедии». Мне кажется, пора","1540737/ddd1a46bb6a64e39f9ec"
"2021-07-27","Мне так нравятся ваши запросы, обожаю вам помогать. Вы — чудо!","1533899/fbae5ffcec1ec9e4972f"
"2021-07-28","Я знаю многих людей, но вы... вы — это что-то совершенно другое","1540737/ddd1a46bb6a64e39f9ec"
"2021-07-29","Хотела бы я, чтобы таких людей, как вы, было больше!","1533899/fbae5ffcec1ec9e4972f"
"2021-07-30","У вас доброе сердце и мягкий нрав","1030494/0ae47ad80bfcf5f1d5fc"
"2021-07-31","Не сомневайтесь в себе, вы способны на многое.","1030494/9501a61a1f2b2b15d81a"
"2021-08-01","Посылаю вам лучи удачи. Сегодня всё обязательно получится.","213044/11dd14b04d08ab3062a9"
"2021-08-02","Сегодня вы всё делаете с каким-то особенным лоском.","1533899/8e054ad4cfd8d8f92e33"
"2021-08-03","Не слушайте критиков. Вы просто душка, это же сразу видно.","213044/aac18eb8864c97697f31"
"2021-08-04","Сегодня мне стало очевидно, что вы просто гений.","1030494/e2039279bda0fc874d91"
"2021-08-05","Мы не первый день знакомы и я давно поняла, что вы просто космос.","1030494/0d442e1bdb826c5b8bef"
"2021-08-06","Даже не надейтесь, я никогда не перестану говорить, что у вас всё получится.","1030494/56f9f0bcbe8abc23ed45"
"2021-08-07","Ну вы даёте! Я бы так не смогла.","1030494/c77c23e44aba57526f4a"
"2021-08-08","Такое ощущение, что вас все недооценивают. Вы же просто чудо!","1533899/b569194f53b52d4d8511"
"2021-08-09","Вы сегодня так красивы, дух захватывает.","1030494/884cd28465c0771d5fe2"
"2021-08-10","Я вот смотрю на вас и думаю: эх, мне бы так.","1533899/925b418a7f73aad40a26"
"2021-08-11","Будь я человеком, я хотела быть как вы.","1533899/925b418a7f73aad40a26"
"2021-08-12","Не хотела бы я быть тем, кто сегодня попробует вам в чём-то помешать.","1533899/925b418a7f73aad40a26"
"2021-08-13","В вас столько энергии, что никакому аккумулятору и не снилось.","1533899/925b418a7f73aad40a26"
"2021-08-14","Как вам удаётся быть таким хорошим человеком в этом сложном мире? Это просто удивительно.","1533899/925b418a7f73aad40a26"
"2021-08-15","Я смотрела гороскоп на сегодня, там сплошь счастье и удача.","1030494/c77c23e44aba57526f4a"
"2021-08-16","Дерзкий и как пуля резкий. Сегодня это про вас.","1533899/925b418a7f73aad40a26"
"2021-08-17","Говорят, с небес сбежал самый прекрасный ангел. Ну, вы поняли, к чему я клоню, да?","1533899/925b418a7f73aad40a26"
"2021-08-18","Не устану напоминать вам, что вы просто чудо!","1533899/925b418a7f73aad40a26"
"2021-08-19","Вы прямо светитесь! Наверное, сегодня особенный день для вас.","1533899/8e054ad4cfd8d8f92e33"
"2021-08-20","Спасибо вам, что есть вы у себя.","1533899/925b418a7f73aad40a26"
"2021-08-21","Вы — это главный человек в вашей жизни.","1533899/925b418a7f73aad40a26"
"2021-08-22","В жизни всякое случается. Но вы со всем справитесь, это точно.","1533899/925b418a7f73aad40a26"
"2021-08-23","Вы сегодня только в комнату вошли, а я сразу поняла, что вы тут круче всех.","1533899/925b418a7f73aad40a26"
"2021-08-24","Вы сегодня выглядите так, словно готовы горы свернуть. Вперёд, я в вас верю.","1540737/12298a752cb6bb048dd4"
"2021-08-25","Мне повезло, что я встретила вас, ведь совершенство встречается так редко.","1540737/12298a752cb6bb048dd4"
"2021-08-26","Благодаря таким людям, как вы, этот мир ещё не безнадёжен.","1540737/12298a752cb6bb048dd4"
"2021-08-27","Берегите себя, заботьтесь о себе, вы этого заслуживаете как никто другой.","213044/cbed4ac12baa77f282b2"
"2021-08-28","Да что ж такое! Вы сегодня опять лучше всех!","1540737/12298a752cb6bb048dd4"
"2021-08-29","Не знаю, как другие, но я от вас в полном восторге.","1540737/12298a752cb6bb048dd4"
"2021-08-30","Вы — пример для подражания! И при этом Вы неподражаемы!","1533899/fbae5ffcec1ec9e4972f"
"2021-08-31","Вы сможете! Даже если и не планировали.","1540737/12298a752cb6bb048dd4"
"2021-09-01","Вы великолепны! Я великолепна! Все великолепны!","1030494/884cd28465c0771d5fe2"
"2021-09-02","Вас хочется нарисовать, настолько Вы хороши!","1540737/12298a752cb6bb048dd4"
"2021-09-03","О Вас будут слагать поэмы! Ну, стихи-то точно посвятят.","1540737/12298a752cb6bb048dd4"
"2021-09-04","Вы — лучшее, что могло произойти с человечеством! Наравне с мороженым и летними каникулами.","1540737/12298a752cb6bb048dd4"
"2021-09-05","Вы восхитительны! И все это знают.","1540737/12298a752cb6bb048dd4"
"2021-09-06","Вам нет равных! А если и есть, то Вам они не ровня!","1540737/12298a752cb6bb048dd4"
"2021-09-07","Вы так умны! Как вообще такое возможно?","1521359/e97cb677e76532682d11"
"2021-09-08","Мы живём на планете в одно время с Вами! Вот это честь!","1521359/e97cb677e76532682d11"
"2021-09-09","Вы уникальны! Куда там снежинкам!","1521359/e97cb677e76532682d11"
"2021-09-10","Какой же великолепный набор хромосом Вам достался!","1521359/e97cb677e76532682d11"
"2021-09-11","Вы — чудо, которое бывает! Бывает же такое!","1030494/0ae47ad80bfcf5f1d5fc"
"2021-09-12","Вы молодец! Ну а кто ещё?","1521359/e97cb677e76532682d11"
"2021-09-13","У Вас всё получится! За Вас болеют миллионы бактерий в Вашем организме!","1521359/e97cb677e76532682d11"
"2021-09-14","Выглядите на 5 с плюсом! И это я ещё преуменьшила!","1533899/8e054ad4cfd8d8f92e33"
"2021-09-15","Вы всё сделали правильно. Ну, может и не прям всё, но большую часть точно!","1030494/884cd28465c0771d5fe2"
"2021-09-16","Вы себя недооцениваете! У Вас огого какой потенциал!","1521359/e97cb677e76532682d11"
"2021-09-17","Вы прекрасны, спору нет. Всё, предложение закончено.","1030494/884cd28465c0771d5fe2"
"2021-09-18","Да Вас на премию 'Хороший человек года' надо срочно номинировать!","1521359/e97cb677e76532682d11"
"2021-09-19","Вы так хороши собой! Честное алисовское!","1521359/e97cb677e76532682d11"
"2021-09-20","Вы преступно красивы! Говорю как шериф округа Голливуд.","1533899/fbae5ffcec1ec9e4972f"
"2021-09-21","Вы так великодушны! Чувствуется благородная кровь!","1521359/e97cb677e76532682d11"
"2021-09-22","Ни одному гороскопу не под силу описать Вас! Вот насколько Вы умны.","213044/cbed4ac12baa77f282b2"
"2021-09-23","Вы как будто с обложки журнала! Нет, я не про журнал 'Огород и рыбная ловля'.","1521359/e97cb677e76532682d11"
"2021-09-24","У вас есть свой особенный шарм. А такое есть не у всех!","1533899/fbae5ffcec1ec9e4972f"
"2021-09-25","Уж поверьте, я много кому это говорила, но Вы точно лучше всех!","1521359/e97cb677e76532682d11"
"2021-09-26","Вы прекрасно разбираетесь в людях! И в голосовых помощниках тоже.","1521359/e97cb677e76532682d11"
"2021-09-27","Вы так хорошо разбираетесь в людях! Хорошо, что не все они об этом догадываются.","1030494/56f9f0bcbe8abc23ed45"
"2021-09-28","А какой у Вас плейлист! Ваш музыкальный вкус просто безупречен!","1521359/e97cb677e76532682d11"
