африкаан	af	африкаанс
алтай	STOP	алтайский
амш	STOP	амшенский
арам	STOP	арамейский
ассир	STOP	ассирийский
афган	STOP	афганский
бель	STOP	бельгийский
бож	STOP	божественный
бояр	STOP	боярский
бурят	STOP	бурятский
гавай	STOP	гавайский
гагауз	STOP	гагаузский
гоблин	STOP	гоблинский
гот	STOP	готский
дагестан	STOP	дагестанский
даргин	STOP	даргинский
двоич	STOP	двоичный
детск	STOP	детский
дигор	STOP	дигорский
дотр	STOP	дотракийский
древнегр	STOP	древнегреческий
древнеег	STOP	древнеегипетский
древнери	STOP	древнеримский
древнеру	STOP	древнерусский
древнесл	STOP	древнеславянский
дунган	STOP	дунганский
европ	STOP	европейский
закарпат	STOP	закарпатский
зарубеж	STOP	зарубежный
израил	STOP	израильский
ингуш	STOP	ингушский
индей	STOP	индейский
индоевр	STOP	индоевропейский
иностран	STOP	иностранный
интелл	STOP	интеллектуальный
ирак	STOP	иракский
ислам	STOP	исламский
кабардин	STOP	кабардинский
кавказ	STOP	кавказский
калмыц	STOP	калмыцкий
канад	STOP	канадский
карач	STOP	карачаевский
карел	STOP	карельский
клин	STOP	клингонский
коми	STOP	коми
кошач	STOP	кошачий
крымско	STOP	крымскотатарский
кумык	STOP	кумыкский
лак	STOP	лакский
лезгин	STOP	лезгинский
манс	STOP	мансийский
марок	STOP	марокканский
мокшан	STOP	мокшанский
мордов	STOP	мордовский
мусульм	STOP	мусульманский
нави	STOP	нави
надс	STOP	надсат
нигер	STOP	нигерский
новогр	STOP	новогреческий
новозе	STOP	новозеландский
новопе	STOP	новоперсидский
ногай	STOP	ногайский
осетин	STOP	осетинский
пакист	STOP	пакистанский
памир	STOP	памирский
парс	STOP	парселтанг
перу	STOP	перуанский
романс	STOP	романский
романш	STOP	романшский
руни	STOP	рунический
рунн	STOP	рунный
саран	STOP	саранский
симв	STOP	символический
сингап	STOP	сингапурский
синдар	STOP	синдарин
сирий	STOP	сирийский
сканд	STOP	скандинавский
старор	STOP	старорусский
старос	STOP	старославянский
староц	STOP	староцерковный
табас	STOP	табасаранский
талыш	STOP	талышский
тараб	STOP	тарабарский
тибет	STOP	тибетский
тувин	STOP	тувинский
туль	STOP	тульский
туни	STOP	тунисский
тунг	STOP	тунгусский
туркм	STOP	туркменский
тюрк	STOP	тюркский
уйг	STOP	уйгурский
ферб	STOP	фербийский
ферн	STOP	фернандес
ферм	STOP	фермерский
ферт	STOP	фертильный
филип	STOP	филиппинский
хакас	STOP	хакасский
хант	STOP	хантыйский
цах	STOP	цахурский
церков	STOP	церковнославянский
цум	STOP	цумандинский
цуд	STOP	цудахарский
цыг	STOP	цыганский
чел	STOP	человеческий
черк	STOP	черкесский
черн	STOP	черногорский
чеч	STOP	чеченский
чук	STOP	чукотский
швей	STOP	швейцарский
шуме	STOP	шумерский
эль	STOP	эльфийский
эм	STOP	эмодзи
эрз	STOP	эрзянский
эфи	STOP	эфиопский
