INPUT:input	GOLDEN:result	HINT:text
"{""intent"":""personal_assistant\tscenarios\tquasar\tgo_home"",""req_id"":""4f898c56-71c1-4d3b-ae8f-f484b1c03bc9"",""state0"":{""time"":""2019-03-18 15:16:51"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/36940384 (ZAYN, Sia - Dusk Till Dawn)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""включи заново"",""action"":""Играет трек или видео еще раз c начала""},""action1"":{""query"":""выключи все"",""action"":""Переходит на главный экран""},""session_id"":""uu/bdb75f4b6ade5f1c77581daf630228ba_1552893818_0""}"	bad	Необходимо как минимум выключить музыку, тогда было бы действие об остановке воспроизведения видео. К тому же переход на главный экран не следует из запроса и контекста. Сценарий определен неверно и ответ – нет
"{""intent"":""personal_assistant\tscenarios\tremember_named_location\tellipsis"",""req_id"":""595ed7a2-be8d-4cfb-99c9-699cebf58cef"",""state0"":{""time"":""2019-03-18 20:10:33"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/6098529 (ВИА «Добры молодцы» - Частушки Бабок Ёжек)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""а"",""answer"":""Алиса на связи. о чем хотите поговорить?""},""action1"":{""query"":""да"",""answer"":""Окей, какой адрес у дома?""},""session_id"":""uu/cec8b7b657167fb0b3839838f07e36f5_1552925637_0""}"	bad	Ответ Алисы явно не в тему. Похоже, что Алиса хочет узнать адрес дома, т.к. находится в соответствующем сценарии, а не в режиме болтовни. Ответ – нет
"{""intent"":""personal_assistant\tgeneral_conversation\tgeneral_conversation"",""req_id"":""8f6e5185-c73d-4378-9765-19b41b7612ae"",""state0"":{""time"":""2019-03-18 17:21:26"",""extra"":[{""type"":""Будильники"",""content"":""1. Будильник на 2019-03-18 06:00:00\n2. Будильник на 2019-03-18 06:45:00""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/41012943"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""умножь шесть на нет алиса"",""answer"":""Да, я уже поняла""},""action1"":{""query"":""алиса умножь шесть на две целых пять десятых"",""answer"":""Сейчас попробую""},""session_id"":""uu/bf6cf286e618eea7af241c5d43010edd_1552917032_0""}"	bad	А надо было просто называть результат этого несложного вычисления. Сценарий определен неверно, ответ – нет
"{""intent"":""personal_assistant\tgeneral_conversation\tgeneral_conversation"",""req_id"":""69fb2de6-164d-485a-bc7d-1bafc52f436f"",""state0"":{""time"":""2019-03-18 18:13:36"",""extra"":[{""type"":""На экране"",""content"":""50 видео/фильмов/сериалов под соответствующими номерами: \n45. \""Человек-паук\"" на ivi\n46. \""Черепашки-ниндзя\"" на ivi\n47. \""Аквамен\"" на ivi\n48. \""Красотка\"" на ivi\n49. \""Богемская рапсодия\"" на ivi\n50. \""Т-34\"" на ivi\n""}],""screen"":""галерея видео""},""action0"":{""query"":""дальше"",""action"":""Осуществляется переход на следующий экран""},""action1"":{""query"":""на пятьдесят"",""answer"":""Чем дальше в лес, тем больше дров""},""session_id"":""uu/6c284206dadf5787985b1155b6bd374d_1552921920_0""}"	bad	Пользователь выбирает 50-е видео из галереи, однако, Алиса не понимает этого и отвечает невпопад. Вместо сценария открытия следует ответ в форме болтовни. Ответ - Нет
"{""intent"":""personal_assistant\tscenarios\talarm_set"",""req_id"":""26e9f03e-4f9f-4b81-b08a-0af4206c9d3c"",""state0"":{""time"":""2019-03-18 19:07:17"",""extra"":[{""type"":""Будильники"",""content"":""1. Будильник на 2019-03-18 05:30:00\n2. Будильник на 2019-03-18 07:30:00\n3. Будильник на 2019-03-18 07:45:00\n4. Будильник на 2019-03-18 08:15:00\n5. Будильник на 2019-03-18 08:23:00\n6. Будильник на 2019-03-18 08:30:00\n7. Будильник на 2019-03-18 08:35:00\n8. Будильник на 2019-03-18 10:21:00\n9. Будильник на 2019-03-18 20:35:00\n10. Будильник на 2019-03-19 05:38:00""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/135693"",""playback"":""Сейчас воспроизведение поставлено на паузу""},{""type"":""Последний просмотренный сериал"",""content"":""\""Остаться в живых\"" на ivi. Серия \""Исход — Часть 3\"" (1 сезон 25 серия)"",""playback"":""Сейчас воспроизведение поставлено на паузу на 19 минуте 38 секунде\nСледующая серия в очереди: \""Человек науки, человек веры\"" (2 сезон 1 серия)""}],""screen"":""экран видеоплеера""},""action0"":{""query"":""поставь будильник на пять тридцать восемь"",""action"":""Теперь установлены следующие будильники:\n1. Будильник на 2019-03-18 05:30:00\n2. Будильник на 2019-03-18 07:30:00\n3. Будильник на 2019-03-18 07:45:00\n4. Будильник на 2019-03-18 08:15:00\n5. Будильник на 2019-03-18 08:23:00\n6. Будильник на 2019-03-18 08:30:00\n7. Будильник на 2019-03-18 08:35:00\n8. Будильник на 2019-03-18 10:21:00\n9. Будильник на 2019-03-18 20:35:00\n10. Будильник на 2019-03-19 05:38:00"",""answer"":""Сделано. Будильник на завтра в 05:38. Отдыхайте.""},""action1"":{""query"":""поставь будильник на завтра в семь ноль пять"",""action"":""Теперь установлены следующие будильники:\n1. Будильник на 2019-03-18 05:30:00\n2. Будильник на 2019-03-18 07:30:00\n3. Будильник на 2019-03-18 07:45:00\n4. Будильник на 2019-03-18 08:15:00\n5. Будильник на 2019-03-18 08:23:00\n6. Будильник на 2019-03-18 08:30:00\n7. Будильник на 2019-03-18 08:35:00\n8. Будильник на 2019-03-18 10:21:00\n9. Будильник на 2019-03-18 20:35:00\n10. Будильник на 2019-03-19 05:38:00\n11. Будильник на 2019-03-19 07:05:00"",""answer"":""Сделано. Будильник на завтра в 07:05. Отдыхайте.""},""session_id"":""uu/d2c333f99235ec2c6b5b6d29ab070c8c_1552901462_0""}"	good	Алиса правильно поставила будильник - добавился 11-й. Ответ - Да
"{""intent"":""personal_assistant\tscaenarios\tvideo_play"",""req_id"":""4d278cea-57ad-4a84-813f-181e548a86cd"",""state0"":{""time"":""2019-03-18 19:41:38"",""extra"":[],""screen"":""экран видеоплеера""},""action0"":{""query"":""пауза"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались""},""action1"":{""query"":""включи мультфильм байки мэтра"",""action"":""Включается видео - \""Мультачки: Байки Мэтра\"" на ivi. "",""answer"":""Секундочку.""},""session_id"":""uu/4d72b3cf651c35a48cc55d2669ca7e7d_1552917475_0""}"	good	Алиса верно включает мультик. Ответ - Да
"{""intent"":""personal_assistant\tgeneral_conversation\tgeneral_conversation"",""req_id"":""ea7b428d-f0ca-4ccb-bb70-306251da2db9"",""state0"":{""time"":""2019-03-18 19:44:23"",""extra"":[{""type"":""Активные таймеры"",""content"":""Таймер на 55 минут, осталось 54 минуты 39 секунд. ""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/27694822"",""playback"":""Сейчас воспроизведение поставлено на паузу""},{""type"":""Последний просмотренный фильм"",""content"":""\""Качая железо (На английском языке с русскими субтитрами)\"" на ivi"",""playback"":""Сейчас воспроизведение поставлено на паузу на 55 минуте""}],""screen"":""экран видеоплеера""},""action0"":{""query"":""останови отчет"",""answer"":""Это трудно, но я попробую""},""action1"":{""query"":""нет останови отсчет"",""answer"":""Слушаюсь и повинуюсь""},""session_id"":""uu/e66c1b37d6d715a4bf81ccc0e2bedd65_1552921724_0""}"	bad	Очень-очень похоже на то, что надо остановить таймер. Но Алиса этого не понимает и отвечает болтовней. Такой ответ неверный
"{""intent"":""personal_assistant\tscenarios\ttimer_set\tellipsis"",""req_id"":""0de291d9-663f-4b4a-8a5a-18bbf919ddc6"",""state0"":{""time"":""2019-03-18 15:10:24"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/32881882"",""playback"":""Сейчас воспроизведение поставлено на паузу""},{""type"":""Последняя включенная радиостанция"",""content"":""Монте Карло"",""playback"":""Сейчас радио включено""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""поставь таймер"",""answer"":""На какое время поставить таймер?""},""action1"":{""query"":""через десять секунд"",""action"":""Установлен таймер на 10 секунд"",""answer"":""Готово. 10 секунд. Начинаю отсчёт.""},""session_id"":""uu/3601ae5ffdd43f261ff38e72e62d1fab_1552901101_0""}"	good	По последнему взаимодействию со станцией не совсем понятно, что хочет пользователь. Однако развернув предпоследнее взаимодействие понимаем, что Алису просят поставить таймер на 10 секунд, что она успешно делает. Ответ верный
"{""intent"":""personal_assistant\tgeneral_conversation\tgeneral_conversation_dummy"",""req_id"":""74a712a6-08a2-45c1-8b70-e54c600255c3"",""state0"":{""time"":""2019-03-18 15:41:52"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/28397938"",""playback"":""Сейчас воспроизведение поставлено на паузу""},{""type"":""Последнее просмотренное видео"",""content"":""\""Три кота | Серия 118 | Интервью | Новая Серия 2019\"" на youtube"",""playback"":""Сейчас это видео воспроизводится на 2 минуте 28 секунде""}],""screen"":""экран видеоплеера""},""action0"":{""query"":""следующий"",""action"":""Включается видео - \""Три кота | Сборник | Серия 96 - 100\"" на youtube. \nСледующее видео в очереди: \""Три кота | Серия 118 | Интервью | Новая Серия 2019\"" на youtube""},""action1"":{""query"":""стоп стоп"",""answer"":""Не стоит вскрывать эту тему, поверьте мне.""},""session_id"":""uu/bff167ed3aea93520da1f88d19388340_1552911317_0""}"	bad	Алису просят поставить на паузу, однако, она воспринимает это как болтовню и не приостанавливает воспроизведение. Ответ - Нет
"{""intent"":""personal_assistant\tscenarios\tget_news"",""req_id"":""a2c40251-743d-426f-97d5-fb0b68f7c877"",""state0"":{""time"":""2019-03-18 06:22:57"",""extra"":[],""screen"":""не подключено к телевизору""},""action0"":{""query"":""расскажи последние новости"",""answer"":""Новая серия губернаторских отставок может начаться уже на этой неделе.\n\nПорошенко пообещал вернуть Крым «без торгов и договоренностей».\n\nСаудовский министр предостерег США от новых санкций против России.\n\nNASA предупредило о приближении крупного астероида к Земле.\n\n«Барселона» разгромила «Бетис» благодаря хет-трику Месси.""},""action1"":{""query"":""какие новости спорта"",""answer"":""«Зенит» и «Спартак» сыграли вничью в чемпионате России.\n\n«Барселона» разгромила «Бетис» благодаря хет-трику Месси.\n\n«2+1» от ди Марии принесли «ПСЖ» уверенную победу над «Марселем».\n\n«Интер» победил «Милан» в дерби чемпионата Италии по футболу.\n\n«Даллас» проиграл «Ванкуверу», Радулов и Ничушкин сделали по передаче.""},""session_id"":""uu/cbfc029f67ca67362c6053a90c7b94ea_1552879256_0""}"	good	Алиса верно озвучивает новости спорта. Ответ - Да
"{""intent"":""personal_assistant\tscenarios\tonboarding\tnext"",""req_id"":""0bfd59b6-3c63-445e-a046-189808381481"",""state0"":{""time"":""2019-05-23 20:38:49"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/29536210"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""алиса предскажи будущее"",""answer"":""Может, лучше я вам загадку загадаю?""},""action1"":{""query"":""давай"",""answer"":""Я знаю новости и факты. Узнайте расстояние от Земли до Марса или попросите меня рассказать новости спорта. Хотите узнать ещё?""},""session_id"":""uu/349873f74ac4cbbeba48098347e1dc9e_1558628568_0""}"	part	Судя по контексту, пользователь хотел, чтобы Алиса загадала ему загадку. Вместо этого она сказала о том, что умеет. И то, и то – болтовня, так что сценарий определен верно. А вот ответ Алисы не соответствует запросу пользователя. Так что ответ частично верен
"{""intent"":""personal_assistant\tscenarios\tsearch"",""req_id"":""4b3c3155-eeb1-49c4-b355-b12f3e28fd04"",""state0"":{""time"":""2019-05-23 15:20:22"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/22771"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""алиса стоп"",""action"":""Музыка и/или видео ставятся на паузу, если проигрывались""},""action1"":{""query"":""найди котиков в сети"",""answer"":""Извините, у меня нет хорошего ответа.""},""session_id"":""uu/14b66ac2f8655d787e0ee7fb142ae2fe_1558612193_0""}"	bad	Вместо поиска Алиса говорит, что ничего сделать не может. Это неверно
"{""intent"":""personal_assistant\tscenarios\ttv_broadcast"",""req_id"":""fa5002d6-d19b-4a4d-ac3f-a84bd3f3310b"",""state0"":{""time"":""2019-05-23 22:28:32"",""extra"":[{""type"":""На экране"",""content"":""50 видео/фильмов/сериалов под соответствующими номерами: \n1. \""Хизир vs Макс. Битва за Хайп.\"" на youtube\n2. \""Тимати feat. НАZИМА - Нельзя (премьера клипа, 2019)\"" на youtube\n3. \""Терминатор: Тёмные судьбы | Официальный трейлер | HD\"" на youtube\n4. \""Путинские православные: черепа и пентхаусы\"" на youtube\n""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/41014003"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""галерея видео""},""action0"":{""query"":""последнее видео"",""action"":""Открывается галерея из 50 видео/фильмов/сериалов по запросу пользователя. На экране отображаются следующие видео под соответствующими номерами:\n1. \""Хизир vs Макс. Битва за Хайп.\"" на youtube\n2. \""Тимати feat. НАZИМА - Нельзя (премьера клипа, 2019)\"" на youtube\n3. \""Терминатор: Тёмные судьбы | Официальный трейлер | HD\"" на youtube\n4. \""Путинские православные: черепа и пентхаусы\"" на youtube\n5. \""Кто умнее - Оля Серябкина или школьники? Шоу Иды Галич 1-11\"" на youtube\n6. \""Теперь я эмо\"" на youtube\n"",""answer"":""Вот что удалось найти.""},""action1"":{""query"":""канал wylsacom"",""action"":""Открывается галерея из 129 телеканалов по запросу пользователя. На экране отображаются первые 10 телеканалов под соответствующими номерами:\n1. \""Мой Эфир\"" , телепередача - \""Как проверить гидроаккумулятор и заменить мембрану?/How to test expansion tank and replace membrane?\""\n2. \""Семейные комедии\"" , телепередача - \""Без границ\""\n3. \""Звезда\"" , телепередача - \""Открытый эфир. Выпуск от 23 мая\""\n4. \""РБК\"" , телепередача - \""ЧЭЗ\""\n5. \""МУЗ-ТВ\"" , телепередача - \""#ЯНАМуз-ТВ\""\n6. \""RU TV\"" , телепередача - \""Незабудки\""\n7. \""Охотник и Рыболов Int\"" , телепередача - \""Охотничьи истории\""\n8. \""Автомобильный\"" , телепередача - \""Соренто Прайм и Гранд Чероки: Киа лучше Джипа???\""\n9. \""Мультфильмы\"" , телепередача - \""Бум и Реды - Сезон 1 - Серия 35 - Воздушный шар\""\n10. \""Романтика\"" , телепередача - \""Дом, милый дом\""\n"",""answer"":""Вот доступные каналы.""},""session_id"":""uu/c8b804e9f6029487374a41c1e6be3d38_1558639676_0""}"	bad	Алиса не находит нужный youtube-канал, но показывает телеканалы, неверно определяя сценарий. Это неверно
"{""intent"":""personal_assistant\tscenarios\tsearch\tentity_name"",""req_id"":""461f54f0-ab9f-41ac-a8fc-64253fc306d2"",""state0"":{""time"":""2019-05-23 15:54:22"",""extra"":[],""screen"":""главный экран""},""action0"":{""query"":""алиса померания"",""answer"":""Померания — Историческая область на юге Балтийского моря, находившаяся в разные эпохи в составе различных государств. Название Померания местность получила по населяющему область западнославянскому племени поморян. В настоящее время Западная Померания является частью германской земли Мекленбург-Передняя Померания, остальная часть является польской территорией.""},""action1"":{""query"":""алиса главный город в померании"",""answer"":""Померания — Историческая область на юге Балтийского моря, находившаяся в разные эпохи в составе различных государств. Название Померания местность получила по населяющему область западнославянскому племени поморян. В настоящее время Западная Померания является частью германской земли Мекленбург-Передняя Померания, остальная часть является польской территорией.""},""session_id"":""uu/06de69f80be1b21e679287fc4a746c7d_1558590775_0""}"	part	Алиса верно определяет, что нужен фактовый ответ, однако надо сказать о главном городе Померании, а не о самой области. Поэтому ответ частично верен
"{""intent"":""personal_assistant\tscenarios\tcreate_todo"",""req_id"":""08099e1a-6a6f-4540-b546-0eea34f3d625"",""state0"":{""time"":""2019-05-23 18:31:47"",""extra"":[],""screen"":""главный экран""},""action0"":{""query"":""девятнадцать"",""answer"":""Это все, что вы хотели мне сказать?""},""action1"":{""query"":""включи конференцию yet another and friends две тысячи девятнадцать"",""answer"":""Добавила в список дел на 2019 год \""конференцию yet another and friends\"".""},""session_id"":""uu/44bc2693d0ad300c3539b0d8322eff8b_1558600299_0""}"	bad	Необходимо включить трансляцию конференции, а не добавлять ее название в список дел. Ответ – нет
"{""intent"":""personal_assistant\tscenarios\tplayer_replay"",""req_id"":""feae9cc7-3a62-4432-a019-d3f80387a6a2"",""state0"":{""time"":""2019-05-23 21:07:45"",""extra"":[{""type"":""Последняя включенная радиостанция"",""content"":""Радио Си"",""playback"":""Сейчас радио выключено""}],""screen"":""радио плеер""},""action0"":{""query"":""как будет свинья по английски"",""answer"":""Будет вот так: pig""},""action1"":{""query"":""еще раз"",""answer"":""Не выйдет, извините. Это же прямой эфир на \""Радио Си\"".""},""session_id"":""uu/6953cfe5d11890b94e2d230c3bfe4617_1558634597_0""}"	bad	Алису очевидно просят повторить, как будет свинья по-английски. Однако она воспринимает это как просьбу включить заново радиоэфир. Сценарий определен неверно, потому ответ – нет
"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""a4fd9ddb-c1b4-43b8-8319-26c8d2df638c"",""state0"":{""time"":""2019-05-23 14:01:30"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/16566271 (Виктор Лебедев - Французская тема)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""включи песня"",""action"":""Первый трек, который включится: https://music.yandex.ru/track/16566271"",""answer"":""Включаю.""},""action1"":{""query"":""включи pewdiepie песня chamberlain"",""action"":""Первый трек, который включится: https://music.yandex.ru/track/48316656"",""answer"":""Включаю: Pewdiepie.""},""session_id"":""uu/b8ec71d4cf2357db57e7e6bcc0b8c331_1558596975_0""}"	part	Включена другая песня исполнителя. Тем не менее, сценарий музыки определен и ответ – частично верно
"{""intent"":""personal_assistant\tscenarios\tget_weather_nowcast"",""req_id"":""e2376d4a-0c40-42ac-9eed-a721f43c8a1d"",""state0"":{""time"":""2019-05-23 13:09:07"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/43716999"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""сколько будет тридцать часов дождь"",""answer"":""В Мытищах сегодня от +15 до +24, дождь.\nЗавтра от +8 до +18, малооблачно.""},""action1"":{""query"":""алиса сколько будет длиться в мытищах дождь"",""answer"":""Дождь вот-вот начнётся.""},""session_id"":""uu/6b0dc540f70f18244c7f67420b5698e0_1558603462_0""}"	part	Алиса правильно понимает, что вопрос  про погоду. Однако, ответ Алисы не соответствует запросу, потому ответ частично верен
